char	cantonese_count
係	62383
嘅	46226
唔	41472
我	35549
好	31748
有	31076
個	29186
佢	28650
都	28355
一	28235
人	25338
你	20835
到	20390
會	18638
啲	18630
同	18626
就	18242
咗	17461
以	16239
咁	15891
哋	15386
呢	15348
得	14402
可	12983
大	12917
冇	12903
多	12569
要	12434
過	11676
睇	11565
去	9793
真	9629
時	9349
家	9337
點	9154
但	9004
講	8949
下	8941
做	8872
喺	8833
話	8747
日	8741
年	8539
用	8507
上	8451
自	8402
嘢	8229
為	8200
又	8113
後	7703
幾	7580
嗰	7423
成	7311
嚟	7260
知	7162
噉	7022
中	7015
想	6871
出	6824
而	6757
其	6678
之	6413
生	6294
無	6286
仲	6258
開	6210
實	6184
樣	6179
啦	6171
先	6131
最	5910
果	5825
返	5817
食	5760
咩	5755
如	5742
面	5701
國	5690
入	5644
地	5588
己	5545
打	5484
學	5431
所	5425
度	5353
住	5333
覺	5278
經	5230
意	5228
心	5227
啊	5095
對	5053
埋	5049
因	4932
邊	4926
分	4853
間	4827
定	4805
前	4628
似	4590
問	4538
本	4530
事	4499
解	4380
能	4354
次	4313
諗	4271
機	4253
即	4232
不	4196
行	4189
女	4184
手	4131
畀	4079
仔	4071
少	4056
然	4044
方	4028
來	3970
文	3866
加	3859
比	3843
港	3831
發	3821
應	3801
當	3795
場	3772
咪	3733
見	3722
完	3652
兩	3612
工	3573
香	3556
頭	3506
乜	3461
者	3446
主	3431
買	3410
第	3407
位	3393
全	3393
明	3356
新	3312
小	3286
力	3269
正	3251
重	3241
公	3227
法	3223
身	3169
已	3150
月	3133
今	3114
未	3048
再	3014
起	3008
使	2947
題	2936
作	2918
識	2912
呀	2911
落	2909
緊	2906
動	2873
老	2868
俾	2865
理	2864
該	2855
友	2818
只	2815
水	2787
部	2781
物	2772
條	2755
喇	2753
種	2743
叫	2734
路	2727
高	2725
等	2716
電	2711
隻	2706
錢	2674
細	2662
三	2661
或	2654
於	2626
聽	2620
啱	2613
道	2601
通	2580
感	2488
相	2484
放	2480
車	2476
外	2473
變	2458
情	2444
將	2442
巴	2403
算	2400
平	2391
期	2373
世	2344
依	2319
死	2310
十	2306
由	2305
數	2304
球	2301
現	2283
太	2267
美	2266
英	2223
波	2204
更	2187
玩	2184
關	2181
陣	2176
聲	2159
原	2149
喎	2138
走	2116
影	2114
常	2113
快	2110
性	2090
長	2085
子	2079
試	2062
他	2059
星	2053
單	2043
名	2037
二	2036
記	2030
望	2013
幫	2008
屋	1994
體	1989
企	1983
利	1980
連	1979
色	1976
反	1972
直	1971
化	1967
口	1957
計	1948
始	1946
每	1931
收	1929
合	1927
至	1917
朋	1902
教	1902
份	1901
笑	1879
代	1868
令	1861
氣	1860
夠	1859
信	1846
馬	1827
搞	1824
𡃉	1810
鍾	1794
班	1784
界	1768
表	1743
隊	1726
跟	1719
特	1710
號	1705
區	1698
黎	1690
難	1682
阿	1678
西	1674
線	1664
天	1662
件	1658
整	1656
亦	1649
張	1639
接	1623
市	1615
式	1613
內	1587
士	1586
受	1579
神	1575
轉	1570
差	1569
半	1566
男	1544
認	1527
品	1527
樓	1513
金	1511
錯	1508
改	1508
留	1508
低	1502
海	1499
業	1495
字	1493
白	1488
員	1480
提	1476
鐘	1475
囖	1473
類	1461
左	1456
別	1451
帶	1451
結	1439
司	1439
民	1436
齊	1432
東	1431
活	1431
清	1429
早	1408
系	1406
需	1405
科	1404
架	1403
包	1401
角	1396
語	1393
基	1390
書	1389
靚	1388
網	1383
政	1376
保	1371
響	1363
量	1354
味	1348
哩	1348
回	1343
近	1343
讀	1341
排	1338
除	1327
價	1321
資	1316
四	1314
程	1309
候	1303
選	1278
門	1277
寫	1262
請	1247
任	1245
交	1240
站	1239
論	1238
病	1238
運	1231
超	1230
卡	1224
戲	1215
音	1212
愛	1210
萬	1208
耐	1207
片	1205
飛	1201
醫	1199
樂	1192
決	1189
師	1184
空	1180
五	1176
底	1171
花	1168
勁	1164
百	1159
眼	1157
驚	1156
黑	1154
晚	1150
廣	1147
考	1146
例	1146
拉	1144
畫	1143
傳	1142
另	1142
安	1136
腦	1132
斯	1132
狗	1121
圖	1120
非	1119
約	1117
山	1115
街	1114
套	1111
易	1111
料	1104
希	1100
南	1100
型	1096
指	1091
越	1090
設	1090
向	1085
產	1083
目	1082
被	1081
質	1074
容	1070
費	1068
制	1067
客	1064
根	1062
離	1057
假	1055
格	1055
立	1054
進	1053
慢	1052
飲	1048
集	1046
聯	1045
建	1044
續	1040
賣	1038
拎	1036
服	1031
戰	1029
光	1019
失	1017
視	1016
足	1012
達	1008
流	1007
囉	1007
首	1006
紅	999
野	982
姐	977
言	976
及	970
持	967
總	967
爆	967
較	965
功	964
支	960
版	960
推	957
餐	957
強	955
思	950
雖	948
換	947
佬	946
統	946
風	942
賽	937
拍	926
肉	926
亞	922
精	921
報	914
淨	912
油	908
雞	903
傾	903
的	900
尾	900
技	899
究	898
母	897
皮	894
北	894
店	893
造	890
華	888
處	885
登	885
輸	884
求	882
熱	880
從	871
演	871
千	870
節	869
刻	868
在	860
飯	855
城	855
術	854
嗎	852
證	850
展	849
維	848
且	847
段	846
龍	846
專	846
誒	845
步	837
晒	836
贏	828
款	827
酒	825
遠	821
升	821
火	817
終	816
社	816
簡	814
牌	813
六	812
議	811
著	805
務	803
院	802
殺	800
歌	800
興	798
粒	795
何	792
普	792
蚊	792
消	790
送	790
義	789
級	788
形	786
命	785
德	783
層	777
坐	775
既	770
準	770
各	770
舊	769
鐵	769
洲	765
必	762
廢	759
引	756
句	755
石	755
頂	754
元	753
觀	752
碼	751
軍	749
吖	749
共	748
垃	745
裝	744
古	743
攞	743
介	740
劇	736
府	735
環	735
圾	733
遊	731
素	731
陸	730
腳	730
八	729
優	729
況	728
灣	726
傷	724
親	723
禮	722
值	720
估	720
肯	719
九	719
牛	717
創	715
器	713
揀	712
魚	711
喀	707
季	705
深	705
治	705
故	702
止	701
牙	700
黃	698
限	697
繼	693
商	692
滿	692
組	690
奇	687
謝	687
息	685
養	684
調	684
驗	681
防	679
爭	679
媽	678
貨	674
王	673
麻	673
和	670
預	670
粉	669
案	669
確	668
台	666
追	666
配	665
歷	665
研	665
肥	663
沙	663
嚹	663
習	662
標	662
效	659
踢	658
米	657
圍	657
臺	657
拜	656
歐	656
享	656
備	654
洗	653
校	651
貴	649
答	644
宜	644
權	642
態	640
減	640
皇	637
便	636
鬼	635
突	634
輕	634
跑	632
爾	628
源	626
壓	625
助	623
投	623
參	621
趣	620
夜	619
血	615
把	611
執	610
團	609
妹	607
州	607
照	606
際	606
哥	605
停	605
初	605
控	603
尼	600
怪	598
示	595
訓	593
啫	593
㗎	592
掂	590
補	588
煩	587
羅	587
旅	586
存	583
絕	583
歲	583
局	582
斷	580
吸	579
韓	577
製	573
供	573
境	572
婆	571
管	570
極	565
房	564
並	564
紀	563
彩	562
痛	559
取	557
林	557
揾	557
切	556
抽	555
唱	555
射	555
惠	555
印	554
菜	553
顯	550
右	547
翻	547
護	547
擺	546
絲	546
職	543
掌	542
告	540
模	540
哈	538
屬	538
攻	535
票	535
官	534
像	533
舉	533
周	531
梗	529
獨	525
衫	525
篇	524
瞓	524
擊	522
速	522
導	522
蛋	522
竟	521
免	519
據	518
苦	516
蘭	515
園	514
討	512
適	511
紙	511
列	510
銀	506
番	505
隔	505
史	505
怕	504
置	503
哦	503
與	501
豆	501
負	500
嘞	500
派	497
炒	496
育	495
克	495
順	494
嚇	494
朝	493
括	492
智	492
七	492
健	492
練	491
豬	488
景	488
領	486
茶	486
短	485
康	485
象	484
盡	480
衰	478
隨	477
室	475
課	474
覆	474
拖	474
眾	473
透	472
亂	471
熟	470
膠	467
是	466
注	466
擇	465
藥	465
咋	465
居	460
乾	460
島	460
寶	457
着	457
富	456
髮	454
彈	454
營	453
具	452
聖	452
壞	450
警	449
福	449
木	449
扮	448
貼	447
燈	446
堂	444
劃	444
險	443
辦	440
冷	440
吹	440
救	440
奶	440
增	440
楚	439
拿	439
藝	439
復	438
甚	438
掛	438
編	438
青	437
毒	436
率	436
濟	435
館	435
裏	434
迷	433
雙	433
醒	433
燒	431
修	431
綫	431
某	430
嘛	429
守	429
靠	427
辛	426
破	426
遲	426
土	426
搭	426
規	425
謂	423
訊	423
抵	421
里	420
訂	418
乎	417
毛	417
念	415
愈	415
婚	414
嗯	414
杯	413
律	413
甜	411
澳	410
跳	407
朗	407
貓	406
申	405
擔	405
密	404
查	403
硬	401
屎	401
材	400
章	398
曾	397
概	397
此	396
膚	394
盤	392
激	392
評	391
症	390
唯	389
願	388
煮	388
稱	387
釋	385
鮮	385
充	384
簽	384
構	384
樹	383
威	382
夾	382
布	381
骨	381
害	379
靜	378
聞	377
博	376
酸	375
退	373
永	373
錄	373
私	372
歡	371
甲	371
航	371
跌	370
袋	370
奧	370
狀	369
粵	369
般	367
療	365
測	364
衝	362
塊	362
輪	362
雲	361
鏡	360
嘩	360
賺	359
陽	359
零	358
積	357
嚴	356
譬	356
溝	355
典	355
善	353
京	353
播	352
抗	351
偷	350
散	350
獎	350
敢	349
紹	348
軟	347
撞	346
咖	343
勢	340
急	340
漢	340
李	338
嬲	338
兒	337
附	336
折	336
倒	335
曲	334
股	333
湯	333
廿	333
責	332
炸	331
琴	331
遇	329
微	329
喜	328
致	327
慘	326
降	326
爸	324
濕	324
喊	322
宣	322
迎	322
搶	321
途	321
詞	320
冠	320
幕	319
舒	319
互	319
糖	319
距	318
河	318
批	317
了	316
汁	316
鬆	315
借	312
往	311
忍	311
父	311
佈	311
犯	310
族	310
雜	310
剩	310
伯	309
儲	309
按	308
譯	308
嫁	307
弱	306
純	306
暗	305
閒	304
泰	302
慣	301
封	301
堆	300
耳	300
拼	298
藍	297
複	297
廳	296
帝	295
辣	294
恐	293
塞	293
針	293
承	293
背	291
捉	291
疑	291
庭	290
棄	290
靈	290
綠	290
座	290
板	289
施	289
雪	289
添	289
呃	288
浪	286
鋪	286
堅	285
刺	285
爺	284
招	283
疫	283
武	282
移	282
田	282
村	282
草	282
鬱	282
尋	281
夢	281
舞	281
屈	281
獲	281
億	281
察	280
露	280
伊	280
努	279
串	279
租	279
項	279
淡	278
縣	278
異	277
鬥	276
筆	276
洋	276
啡	276
衣	274
寧	274
慮	273
倫	273
鬧	272
傻	271
肌	271
陳	271
騎	269
待	269
憶	269
購	269
農	269
域	269
穩	268
避	268
觸	268
頁	268
黐	268
迪	267
危	267
植	267
窮	266
賓	266
輯	266
納	266
爛	265
揸	265
漫	262
曬	262
禁	261
雷	260
喂	260
迫	259
偏	259
刷	258
阻	257
抑	257
幅	256
則	255
蘇	255
織	255
勝	254
顧	254
陪	254
尊	253
插	253
船	253
江	253
索	252
秒	252
缺	252
仍	251
築	251
階	250
狂	249
忽	249
碟	249
苗	249
敗	248
曼	248
畢	247
臨	247
胞	247
肚	246
幸	245
春	245
澄	243
沖	243
甩	243
休	242
廠	241
監	241
餘	241
援	241
益	240
探	240
液	240
攝	239
凍	238
叔	237
宇	237
惡	237
摩	237
賞	236
暫	236
略	236
冬	236
雨	235
宗	234
額	234
兄	233
咬	233
𠺢	233
還	232
淘	232
仁	232
震	232
醬	232
豐	232
歸	231
褲	230
餅	230
範	230
宮	230
檔	229
膽	228
省	228
叻	228
煙	227
童	227
倍	226
潔	226
戴	225
懷	224
罪	224
暴	224
糕	223
悔	222
葉	222
屆	222
搬	221
弟	220
灰	220
唉	220
圈	219
鞋	219
陰	218
誤	218
豪	218
擁	218
幻	217
雄	217
祖	217
蟲	217
滑	217
惜	216
填	216
麥	216
志	215
嘉	215
絡	215
賭	214
判	213
勞	213
夏	213
逼	212
付	211
丁	211
敏	211
悶	210
操	210
乘	210
須	210
剪	209
含	209
吓	207
欣	206
衡	206
爽	206
冰	206
塔	206
濃	206
睡	205
岩	205
奴	205
粗	204
亡	204
吉	203
橋	203
嘈	203
偈	203
良	202
掉	201
緒	201
祝	201
踩	201
財	200
芝	200
午	199
染	199
朱	199
械	199
臭	198
魔	198
滅	197
挑	197
烏	197
協	197
鎖	197
佳	197
策	197
刀	196
奏	196
競	196
眠	196
啤	196
煲	196
盃	195
潮	194
黨	194
呼	193
均	193
逐	193
妝	192
熊	192
翼	192
盟	192
鄉	192
脆	192
縮	191
顏	191
穿	190
符	190
鎮	190
儀	189
懶	188
珠	188
蓋	187
殘	186
瓜	186
佐	186
紋	186
舖	186
趕	185
佔	185
盒	185
牆	185
障	184
侵	184
仙	184
恩	184
森	184
售	183
噴	183
核	183
嘗	183
廁	182
遺	182
檢	182
宙	181
端	181
谷	181
麗	180
秘	180
氧	180
困	179
伏	179
圓	179
副	179
頻	178
荷	178
襯	178
蝗	177
績	177
旗	177
紐	177
採	177
腸	176
束	176
甘	176
延	176
魯	176
憎	176
痴	176
慳	176
霸	175
閃	175
巨	175
旺	175
鍵	175
誕	175
鼓	174
席	174
委	174
掃	173
碳	173
才	172
渣	172
潛	172
槍	171
汗	171
固	170
賤	169
閘	169
涼	168
兼	168
忙	167
融	167
撐	166
厚	166
浸	166
慶	165
拆	165
尤	165
讓	164
兵	164
梅	164
紫	164
尖	164
蝦	164
擴	164
勇	163
讚	163
偉	163
碎	163
週	163
頓	162
側	162
郵	162
岸	162
薯	162
們	161
俄	161
佛	161
革	161
楔	161
戀	160
郁	160
寄	160
泥	159
雅	159
媒	159
曆	159
妳	159
傅	157
隱	157
損	157
抄	156
盛	156
贈	156
蛛	156
癌	156
噶	156
巧	155
盾	154
瘦	154
珍	154
虛	154
序	154
蜂	154
賴	153
遮	153
述	153
載	153
旋	153
諾	152
泡	152
許	150
替	150
幣	150
伴	150
嗱	150
否	149
爐	149
鼠	149
羊	148
癲	148
箱	147
攪	147
胃	147
橫	147
痕	147
婦	146
漏	146
尿	146
洛	146
夫	145
盲	145
署	145
瘋	144
幼	144
沉	144
訪	144
糧	144
藏	143
析	143
薄	143
菌	143
鼻	142
辭	142
坡	142
蜘	142
疾	142
久	141
蛇	141
混	141
扣	141
烈	141
墨	141
攰	141
闆	140
坦	140
斬	140
緣	139
湖	139
莫	138
枝	138
櫃	138
伸	137
貝	137
貪	137
雀	137
患	137
診	136
榮	136
秋	136
劑	136
泊	136
聚	135
握	135
飾	135
磨	134
唐	134
嗌	134
粹	133
映	133
乳	133
蝕	132
描	132
督	132
看	131
晶	131
勵	131
堡	131
飽	130
錫	130
覽	130
戒	130
奮	130
詳	130
譜	130
邦	129
鹹	129
扭	128
訴	128
駁	128
揮	128
丹	128
撈	128
尷	127
遍	127
叉	127
茄	127
摺	127
碌	126
慧	125
默	125
耶	125
丫	124
嘴	124
廚	124
吳	124
審	124
怖	123
帽	123
暖	123
敦	123
敵	122
碗	122
癮	122
柔	122
拒	121
誠	121
籃	121
娛	121
頸	121
哎	121
鑊	121
也	120
剛	120
薪	120
脂	120
註	120
魂	119
砌	119
駛	119
詩	119
宿	119
繁	119
咦	119
犀	119
玻	118
授	118
秀	118
劉	118
潤	118
埔	118
捱	118
抱	117
尬	117
艾	117
徑	117
焗	117
駕	116
嫌	116
滋	116
赤	116
菲	116
枱	116
醜	115
罩	115
污	115
銷	115
央	115
遞	115
瑞	115
勻	115
摸	114
腫	114
澤	114
窗	114
坑	114
柱	114
兜	114
綜	113
閉	113
泉	113
若	113
啖	113
聊	112
娘	112
抹	112
誌	112
群	111
徵	111
貢	111
徒	111
池	111
殖	111
蜜	111
胸	110
狼	110
捧	110
邏	110
鹽	110
培	109
鵝	109
屯	109
裁	108
搏	108
累	107
薦	107
臘	107
膏	107
埃	107
隧	107
葡	107
跡	107
幹	106
厭	106
氛	106
荃	106
忘	105
汽	105
疤	105
貌	105
洞	105
軌	105
券	105
毫	105
蒙	105
氏	104
鋒	103
仇	103
餓	103
獻	103
末	103
罐	103
鴨	103
椒	103
孔	102
誇	102
憑	102
脾	102
虎	102
棍	102
熄	102
勤	102
找	101
聰	101
裂	101
扯	101
璃	101
渡	101
臟	101
搽	100
楊	100
脅	100
鳥	100
繫	100
唧	100
貧	99
拳	99
賊	99
擾	99
梯	99
竹	99
炎	99
址	99
輝	98
川	98
柏	98
截	98
蟹	98
荒	98
逃	97
俠	97
帳	97
炮	97
浮	97
湧	97
煎	97
銅	97
偶	96
晨	96
焦	96
迴	96
齡	96
賠	95
矮	95
旁	95
囡	95
毀	95
錦	95
梳	95
嘔	94
罰	93
鑽	93
倉	93
杜	93
咀	93
腐	93
沿	93
齒	93
齋	93
呎	93
這	92
孫	92
餸	92
咳	91
吊	91
淺	91
籠	91
鋼	91
恆	91
壽	91
庫	91
壇	90
腰	90
債	90
膜	90
塘	90
籌	90
卜	90
蠢	89
爬	89
蘿	89
游	89
灘	89
溶	89
棟	89
冊	89
撳	89
尺	88
斜	88
蹤	88
泛	88
嫩	88
籍	87
懼	87
晏	87
腿	86
卷	86
藉	86
塑	86
揭	86
暑	86
鯨	86
萄	86
擬	86
廈	86
闊	86
亮	85
胡	85
礙	85
乖	85
賢	85
傑	85
凡	85
姓	85
忌	85
薩	85
殊	85
塵	84
橙	84
漠	84
隆	84
肺	84
滯	84
怨	83
淫	83
裙	83
莊	83
筒	83
漸	83
磁	83
攬	83
晝	83
哨	82
捕	82
箭	82
侶	82
惑	82
君	82
柴	82
滾	82
扒	82
瞭	82
獸	81
丸	81
醉	81
捐	81
寵	81
喉	81
匙	81
纖	81
咸	81
樽	81
些	80
勒	80
劍	80
趁	80
憲	80
壯	80
蘋	80
悉	80
廉	80
屍	79
踏	79
松	79
蓮	79
証	79
吔	79
沒	78
冒	78
慾	78
奉	78
阪	78
淋	78
窿	78
祈	78
臉	77
占	77
吾	77
龜	77
櫻	77
燃	77
磅	77
萊	77
杏	77
