word	cantonese_count	mandarin_count
嘅	45136	0
係	32679	9
我	27629	14229
都	26625	14060
佢	23029	0
唔	19775	9
你	18775	10687
咗	16215	0
有	15868	12558
咁	14820	0
好	14682	3518
就	12730	8468
啲	11768	0
到	10998	3271
個	10662	11865
同	10434	663
人	10307	8300
會	9747	5244
呢	9224	297
睇	9077	0
冇	8212	5
可以	8178	3683
喺	8127	0
又	7587	4845
真係	7549	0
要	7329	5185
我哋	6976	0
唔係	6519	0
做	6232	2826
去	5928	2665
但	5810	3055
嚟	5733	0
講	5716	3136
得	5454	2463
自己	5430	3622
佢哋	5358	0
咩	5184	0
想	5142	5295
話	5140	263
啊	5091	397
噉	5036	0
嘢	5001	0
一	4687	12085
用	4677	2046
過	4225	2656
年	3963	1374
畀	3808	0
先	3788	839
多	3767	1948
覺得	3697	2237
因為	3685	1446
如果	3684	2417
其實	3671	2414
好似	3557	141
返	3484	13
諗	3457	0
呢個	3407	0
下	3365	1728
好多	3351	1599
所以	3316	2295
就係	3095	0
幾	3059	2298
仲	2994	10
而	2917	634
唔好	2911	0
但係	2881	0
呀	2854	1533
已經	2795	1648
食	2772	555
點	2753	976
打	2726	1698
即係	2712	0
喇	2707	0
應該	2636	1892
買	2627	1931
住	2589	346
唔知	2552	0
對	2547	1681
出	2542	1178
俾	2539	1
大	2513	1762
不過	2499	1530
點解	2435	0
而家	2427	0
之後	2409	1213
香港	2383	1220
嗰	2326	0
再	2311	1655
為	2303	421
上	2290	2040
同埋	2285	0
叫	2245	1320
可能	2230	1448
無	2219	4067
知	2127	493
隻	2122	50
喎	2110	0
最	2095	1524
問題	2094	1286
有冇	2089	0
呢啲	2058	0
將	1950	994
唔使	1931	0
或者	1930	465
比	1864	1818
月	1852	474
埋	1842	413
𡃉	1810	0
大家	1761	714
等	1760	338
仲有	1689	0
嗰啲	1676	0
入	1665	801
有啲	1659	0
鍾意	1648	0
開始	1634	719
係咪	1631	0
識	1613	106
未	1612	999
兩	1594	1578
由	1546	996
噉樣	1544	0
玩	1539	1304
你哋	1508	4
當	1485	615
囖	1473	0
其他	1465	953
仔	1448	122
事	1433	1105
人哋	1432	61
緊	1427	554
時間	1419	1261
完	1409	234
問	1404	859
錢	1367	872
少	1358	439
唔同	1351	0
度	1340	28
乜	1330	0
走	1325	790
起	1325	217
幫	1316	389
位	1311	719
成日	1298	0
依家	1287	0
中	1280	791
開	1276	562
之前	1274	250
快	1273	766
種	1260	775
死	1254	819
以	1251	1474
條	1248	1706
樣	1248	375
見	1242	840
黎	1234	894
見到	1228	855
只係	1217	0
令	1197	316
新	1193	471
聽	1187	656
地	1166	749
號	1162	69
後	1160	646
間	1156	279
一樣	1154	754
成	1140	411
夠	1127	307
一齊	1117	8
搞	1116	203
邊	1115	358
嗰個	1103	0
需要	1090	297
高	1082	491
邊個	1081	0
最後	1079	719
一定	1073	1049
時候	1052	835
時	1035	357
波	1034	103
太	1032	810
朋友	1021	628
屋企	1012	3
日	1005	531
巴	1004	45
乜嘢	994	0
囉	989	0
連	985	721
架	981	60
今日	980	46
更	978	1575
公司	978	413
落	978	100
算	963	682
女	951	372
被	949	842
拎	941	48
英文	940	446
地方	939	435
嘅話	930	0
靚	926	3
希望	923	549
雖然	918	436
知道	914	1242
啱	908	0
入面	902	0
咪	900	0
左	893	636
亦	886	0
勁	877	580
正	875	1836
整	874	1060
來	867	423
跟住	863	0
點樣	860	0
嗎	852	343
以前	851	1114
誒	845	8
完全	831	550
變	819	497
差	816	604
班	816	339
難	815	537
寫	804	356
放	803	375
明	802	135
件	800	504
前	798	1066
驚	797	77
三	781	504
除咗	771	0
就算	769	168
幾多	764	2
然後	763	310
日本	762	311
可	756	977
行	756	126
狗	745	478
定	745	335
重	743	133
帶	740	294
機會	736	498
學	734	317
美國	732	195
世界	731	360
分	728	552
中國	728	266
加	726	546
吖	722	0
而且	721	1289
少少	720	1
發現	716	256
個人	708	250
系	708	31
本身	707	207
蚊	706	295
請	704	364
根本	700	584
所有	697	168
原來	695	438
場	694	1139
張	691	478
喺度	691	0
垃圾	684	585
晒	683	0
一啲	682	0
嗰陣	679	0
啱啱	677	0
比較	673	480
方法	672	293
名	671	207
揀	667	13
至	665	822
以為	665	595
賣	664	263
嚹	663	0
次	661	1963
感覺	661	480
重要	655	265
水	655	229
或	652	118
笑	650	401
細	650	212
讀	650	201
更加	646	30
贏	644	469
跟	643	1032
手	643	317
有時	636	453
站	625	168
響	621	67
之	618	190
國家	617	212
開心	615	253
教	612	389
野	610	455
既	609	488
似	609	170
今次	607	0
特別	604	461
冇乜	595	0
著	592	460
笑聲	591	5
繼續	584	272
個個	583	36
淨係	582	0
生活	577	195
啫	576	0
情況	574	249
及	574	18
呢度	573	0
女仔	573	0
試	571	240
記得	568	292
陣	565	132
攞	565	0
頭	563	208
當然	560	333
好好	560	327
低	560	232
路	558	242
上面	556	278
影響	555	211
換	554	407
車	554	284
一直	548	300
機	547	142
㗎	542	0
其中	540	85
工作	535	334
份	534	320
例如	534	101
果	533	173
錯	532	239
第一	529	691
全部	528	294
樓主	525	509
發生	525	230
轉	525	183
踢	522	453
坐	522	250
飲	522	14
小	521	617
易	521	252
亦都	517	0
第	516	8
款	515	129
廢	514	285
真	513	396
輸	510	433
隊	509	456
字	508	205
收	507	279
大陸	506	346
認	506	92
政府	505	257
送	502	200
哦	501	137
嘞	500	0
套	498	483
只	495	497
生	495	199
耐	494	35
文	493	82
揾	493	0
落去	493	0
即刻	487	5
決定	485	159
的	482	16365
阿	481	45
於	480	18
同時	478	79
望	476	140
女人	473	326
研究	473	63
正常	471	303
本	471	229
工	469	126
多謝	466	12
直接	464	307
通常	463	171
仲係	463	0
四	462	177
包括	461	391
貴	461	268
馬	460	174
區	459	87
飛	458	86
好睇	458	0
歲	457	151
即	457	90
早	456	265
愛	456	256
發展	456	145
分別	456	96
醫生	455	191
簡單	455	157
咋	453	124
設計	453	40
篇	448	78
跑	447	418
姐	447	332
書	447	154
平時	447	104
依	444	166
成為	444	79
最好	443	187
學生	442	195
平	441	103
面	439	93
內	438	128
不如	437	328
老	436	210
估	436	8
心	435	271
舊	435	169
街	433	181
優惠	431	21
原因	430	179
聽日	428	0
爆	427	181
關係	426	208
拉	426	67
定係	426	0
哩	424	53
版	424	37
電話	423	217
另外	423	149
有得	422	231
道	422	81
改變	420	207
雞	417	221
相	417	113
部	415	259
信	415	165
影	415	24
嗯	414	0
計	413	137
非常	411	276
結果	411	203
卡	411	97
能力	409	300
畫	409	244
片	409	139
超	409	84
每	408	1177
選擇	408	243
語言	406	158
拍	405	86
從	404	306
味	404	35
梗係	401	0
當時	397	350
留	396	237
主要	396	96
嚇	395	35
掂	395	0
相信	394	234
傾	394	32
代表	392	166
一日	392	2
英國	391	58
句	389	416
成功	388	136
約	387	183
人類	386	85
球	385	980
戲	385	208
腳	385	191
理	385	173
今	382	424
反而	382	256
改	381	174
甚至	381	95
講嘢	381	0
任何	380	761
好耐	380	0
得到	379	47
男人	377	250
分鐘	377	237
鐘	377	83
嗰度	377	0
無人	377	0
試過	377	0
圖	376	230
社會	376	158
並	375	52
黑	374	240
學校	374	151
佬	373	43
身體	371	103
香港人	370	305
同一	370	2
食物	368	182
萬	367	45
做嘢	367	0
嘛	366	373
討論	364	200
慢慢	362	231
類	361	491
好過	360	266
大學	360	224
指	360	82
長	359	363
文化	359	195
怕	358	700
越	358	276
掌聲	358	7
段	357	418
%	357	0
第二	355	294
所	354	324
故事	354	165
係唔係	354	0
向	352	270
提供	352	29
幾時	352	0
靠	351	248
嗰時	351	0
線	350	159
神	348	126
家	347	548
服務	347	42
番	346	221
今年	345	182
電影	344	324
唔通	344	0
排	343	169
小朋友	341	99
斯	339	3
為咗	339	0
差唔多	338	0
屎	337	90
返工	336	0
使	335	186
擺	335	130
嘩	335	40
分享	334	117
日日	334	3
數	333	89
歌	332	236
炒	332	212
飯	332	160
點知	332	0
腦	329	153
紅	329	150
聲	329	116
譬如	328	1
清楚	327	436
綫	325	0
粒	322	307
着	322	65
之間	322	59
瞓	322	0
抽	321	593
假	321	221
興趣	320	299
方面	320	288
解決	320	115
包	320	62
型	320	61
之外	319	141
健康	319	51
留意	319	36
準備	317	294
邊度	317	0
控制	316	79
升	315	216
介紹	315	110
過去	314	333
曾經	314	248
能夠	314	67
集	312	402
追	312	201
辛苦	312	178
樓	312	119
出現	311	239
仲要	310	0
明明	309	277
旅行	308	156
五	308	106
衰	308	21
企	308	16
嬲	307	0
同事	306	114
環境	306	99
病	306	80
洗	304	170
意思	304	155
利	304	120
方式	304	83
肯	302	224
最近	302	154
六	302	74
系統	302	36
壓力	301	98
內容	301	79
令到	301	0
半	300	544
者	300	411
方便	299	85
衫	299	52
一半	298	237
口	298	173
頂	298	118
每日	298	0
活動	297	123
好彩	297	5
十	295	417
終於	295	165
近	295	117
肥	293	205
關	293	132
單	293	114
電腦	293	98
計劃	292	21
角色	291	182
身	290	147
花	290	62
叫做	290	61
屋企人	290	0
米	289	246
中文	289	174
受	289	130
訓	288	198
要求	288	127
只要	288	117
性	288	64
力	287	87
絲	287	30
一路	286	152
煮	286	93
執	286	27
遠	284	1382
一係	283	0
接受	282	107
建議	281	182
眼	281	134
幫手	281	4
一般	280	137
酒店	280	53
唔記得	280	0
起碼	279	220
考	279	148
資料	279	107
油	279	46
愈	278	165
最多	278	153
加入	276	29
與	274	1016
提	274	303
真心	274	276
肯定	274	178
解釋	274	165
反應	273	119
地球	273	63
呃	273	0
支持	272	296
變成	272	193
無論	271	157
杯	271	80
音樂	271	64
有關	271	48
返去	271	0
容易	270	224
嫁	270	213
未必	270	164
尾	270	68
運動	269	190
派	269	29
殺	268	200
石	268	103
清	268	87
經濟	268	81
巴士	268	39
做乜	268	0
養	267	103
和	266	2351
只有	266	45
唱	265	189
二	264	191
入去	264	0
把	263	437
城市	263	37
未來	262	127
空間	262	86
產品	262	44
細個	262	0
努力	261	163
敢	260	280
扮	260	133
貓	260	123
期	260	74
添	259	14
首	258	216
認真	258	72
全	257	415
明顯	257	194
今晚	257	72
究竟	256	169
以上	256	79
美	255	318
熱	255	116
作為	255	77
濕	255	26
俾人	255	0
自然	254	131
喂	254	43
廣東話	253	190
底	253	140
星期	252	237
絕對	252	101
關於	252	31
地區	252	29
感	252	15
由於	251	28
有錢	250	193
證明	250	191
跌	250	155
男	250	137
肉	250	123
科	250	59
永遠	249	149
西	249	87
嚟講	249	0
男仔	249	0
女朋友	248	250
掛	248	185
老豆	248	155
客	248	99
資源	247	160
對方	247	139
答	247	116
教育	247	81
港	247	65
裏面	247	14
賺	246	105
覺	246	49
明白	245	161
喊	245	75
多數	245	57
出去	244	222
經歷	244	144
唔錯	244	0
讀書	243	192
女性	243	181
老母	242	190
遊戲	242	181
星	242	121
同學	242	107
主	242	40
皮	242	24
普通	241	176
國	241	60
色	241	50
眾	241	1
使用	240	771
貼	240	104
人工	240	41
友	240	18
東	239	17
反	238	213
推	238	184
附近	238	92
技術	238	76
年代	238	75
同樣	238	53
先至	238	0
基本上	238	0
唯一	237	112
存在	236	382
豬	236	147
中學	235	169
老婆	235	123
交	235	88
解	234	91
隔離	234	45
科技	234	43
自	234	40
抵	234	5
老師	233	118
牙	233	74
王	233	25
停	232	130
網	232	91
實	232	43
透過	232	13
幾好	232	0
角	231	108
價錢	231	73
突然	230	198
飛機	230	155
真正	229	797
金	229	40
頭先	229	1
嗰陣時	229	0
一下	228	739
鬼	228	92
搭	228	78
牌	228	77
登	227	60
法	227	41
夾	227	38
拿	226	118
加上	225	212
麻煩	225	84
同人	225	3
強	224	179
所謂	224	151
傷	224	146
中間	224	120
當中	224	22
痛	223	159
到底	223	107
安全	223	66
正式	223	34
白	222	127
膠	222	68
台	221	266
表現	221	133
價	221	79
文章	221	42
到時	221	5
揸	221	0
外國	220	187
身邊	220	144
大概	220	41
魚	220	35
以下	220	29
叻	220	0
現實	219	147
晚	219	72
記	219	35
唉	218	103
山	218	35
大腦	218	15
澄	218	0
位置	217	101
對於	217	26
上去	216	183
發	216	143
竟然	216	140
支	216	105
吸引	216	102
動物	216	50
病人	216	42
經過	215	84
首先	215	80
效果	215	63
超過	214	23
下次	214	0
男朋友	213	159
人生	213	103
已	213	83
舒服	213	81
香	213	18
得閒	213	0
諗法	213	0
拜	212	114
例子	211	91
出來	210	86
黐線	210	0
始終	209	150
上網	209	148
經驗	209	110
韓國	209	100
億	209	6
用嚟	209	0
適合	208	136
能	207	1510
煩	207	196
大部分	207	133
手機	207	101
作品	207	35
折	207	17
怪	206	148
電視	206	99
部分	206	93
料	206	80
龍	206	74
化	205	37
學習	204	240
比賽	204	181
答案	204	85
光	204	79
個月	204	0
食飯	204	0
講真	203	0
黃	202	37
達	202	32
一陣	202	23
外	201	115
房	200	54
等等	200	39
仍然	199	781
燈	199	117
傻	199	113
作	199	73
生命	199	55
德	199	10
一場	199	0
訂	198	122
考慮	198	109
塊	198	107
歷史	198	64
牛	198	51
壞	197	273
咬	197	131
拖	197	93
行為	197	73
中心	197	34
嚴重	196	87
跳	196	71
法國	196	37
係噉	196	0
唔見	196	0
射	195	159
吹	195	117
重點	195	107
妹	195	62
當年	194	152
申請	194	67
配	194	51
減	194	47
全球	194	19
不斷	193	342
翻	193	103
新聞	193	101
想像	193	71
功能	193	36
吓	193	0
夜晚	192	59
處理	192	57
保護	192	56
較	192	56
冇用	192	0
大把	192	0
人口	191	80
撞	191	70
上次	191	0
緊要	191	0
小心	190	220
事實	190	155
擔心	190	102
各位	190	83
老細	190	0
原本	189	371
貨	189	130
歐洲	189	46
組織	189	31
之一	189	0
搶	188	129
裝	188	73
免費	188	60
曬	188	33
粉	188	21
產生	188	17
靚仔	188	4
慢	187	162
中意	187	149
遇到	187	111
店	187	57
過程	187	31
暫時	186	115
接	186	91
屋	186	88
皇	186	71
幾耐	185	0
食嘢	185	0
硬	184	94
慘	183	166
增加	183	55
細佬	183	0
值得	182	173
次次	182	136
亂	182	118
各	182	47
鬧	182	37
家庭	181	268
後面	181	130
傳	181	119
極	181	84
醫院	181	66
總	181	47
屆	181	21
陳	181	6
季	180	412
一早	180	147
電	180	84
周圍	180	63
餐廳	180	52
老公	180	9
小學	179	102
傾偈	179	0
全世界	179	0
頭髮	178	158
後悔	178	75
歡迎	178	59
甩	178	58
子	178	22
悶	177	127
補	177	100
價值	177	86
角度	177	70
目標	177	60
皮膚	177	51
陪	176	163
市場	176	83
感受	176	65
大佬	176	9
回	175	958
感情	175	128
元	175	59
獨立	175	55
科學	175	19
個位	174	71
收到	174	67
國際	174	50
某	173	176
報	173	92
八	173	56
銀行	173	54
